시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
화양동주민센터,서울특별시,광진구,11215,서울특별시 광진구 능동로17길 39,,37.5465375591,127.0713178828,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/3+03/13+04/2,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2015-08-01,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
자양제4동주민센터,서울특별시,광진구,11215,서울특별시 광진구 뚝섬로26길 58,,37.534060,127.066230,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/3+03/13+04/2,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2014-07-01,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
동부여성발전센터,서울특별시,광진구,11215,서울특별시 광진구 아차산로30길 36,,37.5394043329,127.066700,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/3+03/30+04/2,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2014-07-01,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
중곡제1동주민센터,서울특별시,광진구,11215,서울특별시 광진구 긴고랑로12길 49,,37.5606668136,127.080050,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/7+03/1+04/10,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2018-06-01,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
서울광진경찰서,서울특별시,광진구,11215,서울특별시 광진구 자양로 167,,37.5429108762,127.0839017211,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/7+03/1+04/10,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2018-06-01,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
여성안심택배함,대구광역시,중구,34100,"대구광역시 중구 국채보상로139길 1, (동인동2가)",대구광역시 중구 동인동2가 177-4,35.86932522,128.6061572,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력하여 찾기,대형/01+중형/02+중소형/03+소형/04,01/1+02/4+03/3+04/12,01/60+02/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/45+03/30+04/22,2015-06-11,1599-2740,안전총괄과,053-661-2255,2019-09-26,3410000,대구광역시 중구
강화베이힐아파트,인천광역시,강화군,35700,인천광역시 강화군 강화읍 강화대로 234-12,인천광역시 강화군 강화읍 갑곳리 1100,37.7418810775,126.5035018362,00:00,24:00,00:00,24:00,00:00,24:00,0,24,1000,01,대상자핸드폰문자로 보관함번호와비밀번호가 전송되면  48시이내 무료 24시간초가시마다 1000원부과됨,대형/01+소형03,01/6+03/12,01/60+03/60,01/50+03/50,01/60+03/60,2016-07-07,1899-4711,인천광역시 강화군,032-930-3587,2019-09-20,3570000,인천광역시 강화군
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 북아현로 24(북아현동),서울특별시 서대문구 북아현동 129-37,37.559451,126.957011,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2013-12-31,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11130,"서울특별시 서대문구 봉원사2길 13(봉원동, 봉원교회)",서울특별시 서대문구 봉원동 42-6,37.568525,126.946631,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2013-12-31,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 포방터길 28(홍제3동),서울특별시 서대문구 홍제동 286-30,37.597999,126.949169,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2014-06-30,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 가좌로4길 154(홍은2동),서울특별시 서대문구 홍은동 338-146,37.585816,126.923424,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2014-06-30,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 홍은중앙로85(홍은동),서울특별시 서대문구 홍은동 11-853,37.598954,126.947125,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2015-07-31,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 연희로 189(연희동),서울특별시 서대문구 연희동 77-9,37.573981,126.935215,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2016-05-30,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 모래내로 334(홍은2동),서울특별시 서대문구 홍은동 273-10,37.580052,126.934137,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2017-05-31,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
버드내도서관,경기도,수원시,41110,경기도 수원시 권선구 세권로94번길 29(세류동),,37.2568222102,127.0147760029,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/3+03/12,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
서호노인복지관,경기도,수원시,41110,경기도 수원시 권선구 구운로 4번길 34 (구운동),,37.2784962,126.9761901,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
화서1동 행정복지센터,경기도,수원시,41110,경기도 수원시 팔달구 동말로 4번길 10 (화서동),,37.2764224886,126.9950366,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
지동 행정복지센터,경기도,수원시,41110,경기도 수원시 팔달구 팔달문로 115번길 5 (지동),,37.2820380536,127.0284357,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
매탄2동 행정복지센터,경기도,수원시,41110,경기도 수원시 영통구 매영로 39번길 21 (매탄동),,37.2701247,127.0474227,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2017-01-01,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
수원시가족여성회관,경기도,수원시,41110,경기도 수원시 팔달구 매산로 119 (교동),,37.2717760593,127.0134845850,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/2+03/8,02/55+03/55,02/45+03/45,02/60+03/30,2019-06-14,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
행궁동 행정복지센터,경기도,수원시,41110,경기도 수원시 팔달구 신풍로23번길 40 (신풍동),,37.2840064,127.0126305,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/4+03/16,02/55+03/55,02/45+03/45,02/60+03/30,2019-07-01,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
송죽동 주민행복쉼터,경기도,수원시,41110,경기도 수원시 장안구 정조로 1041번길 12-3 (송죽동),,37.298573,127.0057109,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,1,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03,02/3+03/10,02/55+03/55,02/45+03/45,02/60+03/30,2019-10-01,1899-4711,수원시,031-228-3218,2020-01-08,3740000,경기도 수원시
여성안심택배함,전라남도,순천시,46150,전라남도 순천시 호남길 52,,34.95525731,127.4810473,23:59,23:59,23:59,23:59,23:59,23:59,72,24,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,02/5+04/12,02/60+04/60,02/45+04/22.5,02/50+02/50,2017-12-26,1600-5136,순천시청 여성가족과,061-749-6282,2019-12-27,4820000,전라남도 순천시
여성안심택배함,전라남도,순천시,46150,전라남도 순천시 연향번영길 54,,34.9471023,127.5185748,23:59,23:59,23:59,23:59,23:59,23:59,72,24,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/05,02/5+04/12,02/60+04/60,02/45+04/22.5,02/50+02/50,2017-12-26,1600-5136,순천시청 여성가족과,061-749-6282,2019-12-27,4820000,전라남도 순천시
여성안심택배함,전라남도,순천시,46150,전라남도 순천시 남정5길 1,,34.941335,127.487991,23:59,23:59,23:59,23:59,23:59,23:59,72,24,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/06,02/5+04/12,02/60+04/60,02/45+04/22.5,02/50+02/50,2018-12-05,1600-5136,순천시청 여성가족과,061-749-6282,2019-12-27,4820000,전라남도 순천시
여성안심무인택배보관함 (구리시 멀티스포츠센터),경기도,구리시,41310,경기도 구리시 체육관로 137-25,경기도 구리시 교문동 153-1,37.5961625856,127.1351684,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02,01/8+02/32,01/60+02/60,01/50+02/50,01/45+02/23,2017-12-11,1899-4711,㈜세누,031-550-2262,2019-12-17,3980000,경기도 구리시
여성안심무인택배보관함 (구리시 돌다리제2경로당),경기도,구리시,41310,경기도 구리시 검배로 9번길 21,경기도 구리시 수택동 526-2,37.600963,127.1425618,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02,01/8+02/32,01/60+02/60,01/50+02/50,01/45+02/23,2017-12-11,1899-4711,㈜세누,031-550-2262,2019-12-17,3980000,경기도 구리시
금촌역,경기도,파주시,41480,경기도 파주시 새꽃로 193,경기도 파주시 금촌동 329-355,37.76555845,126.7739362,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,2,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03,01/3+02/10+03/1,01/55+02/55+03/55,01/45+02/45+03/45,01/60+02/45+03/33,2019-12-06,1899-4711,파주시여성가족과,031-940-8681,2019-12-06,4060000,경기도 파주시
문산역,경기도,파주시,41480,경기도 파주시 문산읍 문산역로 94,경기도 파주시 문산읍 문산리 17-14,37.85458761,126.7875955,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,2,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중소형/03,01/5+03/6,01/55+03/55,01/45+03/45,01/60+03/33,2019-12-06,1899-4711,파주시여성가족과,031-940-8681,2019-12-06,4060000,경기도 파주시
운정역,경기도,파주시,41480,경기도 파주시 운정역길 368,경기도 파주시 야당동 299-4,37.72542292,126.7669075,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,2,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03,01/3+02/10+03/1,01/55+02/55+03/55,01/45+02/45+03/45,01/60+02/45+03/33,2019-12-06,1899-4711,파주시여성가족과,031-940-8681,2019-12-06,4060000,경기도 파주시
야당역,경기도,파주시,41480,경기도 파주시 소리천로 10,경기도 파주시 야당동 1088,37.71281299,126.7615305,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,2,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03,01/3+02/10+03/1,01/55+02/55+03/55,01/45+02/45+03/45,01/60+02/45+03/33,2019-12-06,1899-4711,파주시여성가족과,031-940-8681,2019-12-06,4060000,경기도 파주시
중곡교회(감리),서울특별시,광진구,11215,서울특별시 광진구 긴고랑로36길 56,,37.5569649607,127.090750,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/5+03/1+04/6,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2017-06-05,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
