점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자,제공기관코드,제공기관명
GS25 대림으뜸점,서울특별시,영등포구,11560,서울특별시 영등포구 도림로41길 6,서울특별시 영등포구 대림3동 710,37.494474,126.898262,02-848-1964,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 동여의점,서울특별시,영등포구,11560,서울특별시 영등포구 여의대방로65길 23,서울특별시 영등포구 여의도동 45-13 필지포레스텔빌딩101,37.5201347,126.9288023,02-785-2524,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 문래LG점,서울특별시,영등포구,11560,서울특별시 영등포구 당산로 34,서울특별시 영등포구 문래동3가 55-5,37.517425,126.8964798,02-2633-4993,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 문래공원점,서울특별시,영등포구,11560,서울특별시 영등포구 도림로 441-1,서울특별시 영등포구 문래동2가 15-1,37.51443934,126.893816,02-2633-6262,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 문래에이스점,서울특별시,영등포구,11560,"서울특별시 영등포구 경인로 775, 112호","서울특별시 영등포구 문래동3가 55-20, 에이스하이테크시티",37.51474534,126.8975388,02-3439-0084,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 신길역점,서울특별시,영등포구,11560,서울특별시 영등포구 경인로114가길 4,서울특별시 영등포구 영등포동1가 79-1,37.51813904,126.913976,02-2631-5124,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 양평보보점,서울특별시,영등포구,11560,"서울특별시 영등포구 양산로7길 3, 105호","서울특별시 영등포구 양평동3가 17-1, 우림보보카운티오피스텔",37.5258146,126.887188,02-2677-9525,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 양평중앙점,서울특별시,영등포구,11560,서울특별시 영등포구 양평로18길 8,서울특별시 영등포구 양평동4가 161-6,37.537202,126.8971124,02-2633-1247,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 한강양화2호점(구.양화무궁화점),서울특별시,영등포구,11560,서울특별시 영등포구 노들로 55,서울특별시 영등포구 양화동 32-2,37.5476940128,126.8866527982,02-2068-8907,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
CU 원광대원룸점,전라북도,익산시,45140,전라북도 익산시 동서로5길66(신동),전라북도 익산시 신동 797-7,35.9605007201,126.9550286936,063-842-3690,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25어양주공점,전라북도,익산시,45140,전라북도 익산시 하나로8길 14 (어양동),전라북도 익산시 어양동 635-1,35.9606592845,126.9825426551,063-835-7725,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
CU익산부송센터점,전라북도,익산시,45140,전라북도 익산시 부송1로 67-1 (부송동),전라북도 익산시 부송동 768,35.9577833265,126.9893805371,063-833-2798,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25 익산공단점,전라북도,익산시,45140,전라북도 익산시 부송로 22(부송동),전라북도 익산시 부송동 1042-11,35.9540884994,126.9928793055,063-858-6613,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
CU익산영등원룸점,전라북도,익산시,45140,전라북도 익산시 궁동로1길 14(영등동),전라북도 익산시 영등동 807-1,35.9629680653,126.9719973733,063-836-0200,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
gs25익산신일점,전라북도,익산시,45140,전라북도 익산시 약촌로 192(영등동),전라북도 익산시 영등동 714-1,35.9506828559,126.9742185177,063-833-2484,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
김해시청,경상남도,김해시,48250,경상남도 김해시 김해대로 2401,경상남도 김해시 부원동 623,35.22878871,128.8898336,055-123-1234,김해서부경찰서,2015,Y,2020-06-30,5350000,경상남도 김해시
GS25 운서스타,인천광역시,중구,28110,"인천광역시 중구 운서3로 5, 1층",인천광역시 중구 운서동 2890-11,37.484931,126.507871,032-751-6603,인천중부경찰서,2018,Y,2020-07-08,3490000,인천광역시 중구
GS25 을왕그린,인천광역시,중구,28110,인천광역시 중구 을왕로 58번길 10-4,인천광역시 중구 을왕동 763-2,37.449381,126.372307,032-746-3354,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
GS25 영종주민센터,인천광역시,중구,28110,"인천광역시 중구 운남서로 63, 1층",인천광역시 중구 운남동 1538-8,37.492789,126.529607,070-8182-8384,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
GS25 운서택지,인천광역시,중구,28110,"인천광역시 중구 화랑목로100번길 65-1, 1층 103호",인천광역시 중구 운서동 3046-11,37.494074,126.499219,032-746-5434,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
미니스톱 영종씨에로점,인천광역시,중구,28110,인천광역시 중구 영종대로 90,인천광역시 중구 운서동 2789-2,37.4949149,126.489007,032-746-0748,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
미니스톱 영종중산점,인천광역시,중구,28110,인천광역시 중구 운중로 175,인천광역시 중구 중산동 1335-8,37.497164,126.551211,032-743-3554,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
미니스톱 영종운중로점,인천광역시,중구,28110,인천광역시 중구 운중로 133,인천광역시 중구 중산동 1456-3,37.495171,126.547981,032-746-2123,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 동인천점,인천광역시,중구,28110,인천광역시 중구 우현로 90번길 19-13,인천광역시 중구 인현동 26-1,37.47433617,126.631331,032-765-7090,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 인천동화마을점,인천광역시,중구,28110,인천광역시 중구 차이나타운로 3-1,인천광역시 중구 송월동3가 11-148,37.47883703,126.6198039,032-777-2322,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 인천중구송월점,인천광역시,중구,28110,"인천광역시 중구 참외전로59번길 38, 1층",인천광역시 중구 송월동1가 4-96,37.48051108,126.624863,032-777-1020,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 영종도풍림점,인천광역시,중구,28110,인천광역시 중구 신도시북로 44,인천광역시 중구 운서동 2708-1,37.49970462,126.4865181,032-751-3288,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 을왕제일점,인천광역시,중구,28110,인천광역시 중구 용유서로 382,인천광역시 중구 을왕동 773-80,37.45205375,126.3725398,032-743-0712,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 신흥점,인천광역시,중구,28110,인천광역시 중구 제물량로 10,인천광역시 중구 신흥동3가 31-49,37.461679,126.638049,032-882-5220,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 씨팰리스점,인천광역시,중구,28110,"인천광역시 중구 인항로 6, 정광씨팰리스",인천광역시 중구 신흥동3가 7-308,37.45775936,126.6307538,032-212-6422,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 동인천거리점,인천광역시,중구,28110,인천광역시 중구 자유공원로 13,인천광역시 중구 인현동 18-2,37.47520298,126.629641,032-883-7110,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 중구보건소점,인천광역시,중구,28110,인천광역시 중구 참외전로 88-69,인천광역시 중구 전동 8-5,37.4774271,126.628639,032-766-1231,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 신포로데오점,인천광역시,중구,28110,"인천광역시 중구 개항로 10-2, 1층",인천광역시 중구 중앙동4가 2-1,37.471294,126.624105,032-766-7241,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 연안비취점,인천광역시,중구,28110,인천광역시 중구 연안부두로33번길 36,인천광역시 중구 항동7가 27-131,37.453581,126.605771,032-882-8825,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 연안부두점,인천광역시,중구,28110,인천광역시 중구 연안부두로 43,인천광역시 중구 항동7가 58-54,37.45460156,126.601672,032-887-4049,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 운남지구점,인천광역시,중구,28110,인천광역시 중구 관창로 16,인천광역시 중구 운남동 1531-6,37.491499,126.530966,032-743-0585,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 공항스카이빌점,인천광역시,중구,28110,인천광역시 중구 흰바위로 34,인천광역시 중구 운서동 2788-6,37.49054176,126.4894937,032-751-0564,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 SK신공항주유소점,인천광역시,중구,28110,인천광역시 중구 신도시남로141번길 6,인천광역시 중구 운서동 2797-1,37.49424317,126.4895182,032-752-1588,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
씨유 운서나래점,인천광역시,중구,28110,인천광역시 중구 햇내로안길 11,인천광역시 중구 운서동 3042-5,37.495431,126.498242,032-521-3777,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
CU 종로국악당점,서울특별시,종로구,11100,서울특별시 종로구 율곡로10길 16,서울특별시 종로구 와룡동 25,37.5767817771,126.9908846818,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
CU 종로원서점,서울특별시,종로구,11100,서울특별시 종로구 창덕궁길 120,서울특별시 종로구 원서동 45,37.5828111014,126.9893668689,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
CU 평창북악점,서울특별시,종로구,11100,서울특별시 종로구 평창30길 19,서울특별시 종로구 평창동 97-9,37.6116261867,126.9747660205,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
CU 종로행촌점,서울특별시,종로구,11100,서울특별시 종로구 통일로12길 62,서울특별시 종로구 행촌동 210-113,37.5750388620,126.9618958704,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
GS25 상명사랑,서울특별시,종로구,11100,서울특별시 종로구 세검정로 230,서울특별시 종로구 홍지동 94-2 1층,37.6001537964,126.9585220716,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
GS25 종로누하,서울특별시,종로구,11100,서울특별시 종로구 필운대로 39,서울특별시 종로구 누하동 57-2,37.5795350023,126.9686272983,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
GS25 종로도렴점,서울특별시,종로구,11100,서울특별시 종로구 새문안로5길 31,서울특별시 종로구 도렴동 65,37.5729771457,126.9743534352,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
미니스톱 종로북촌점,서울특별시,종로구,11100,서울특별시 종로구 북촌로4길 27,서울특별시 종로구 계동 116-1,37.5794591248,126.9866140858,,종로경찰서,,N,2020-07-10,3000000,서울특별시 종로구
미니스톱 종로육의전점,서울특별시,종로구,11100,서울특별시 종로구 수표로 105,서울특별시 종로구 낙원동 200-4,37.5705972019,126.9891512686,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
미니스톱 종로효제점,서울특별시,종로구,11100,서울특별시 종로구 종로39길 40,서울특별시 종로구 종로6가 238-6,37.5726050131,127.0049671860,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
미니스톱 종로6가점,서울특별시,종로구,11100,서울특별시 종로구 종로41길 3,서울특별시 종로구 종로6가 247-1,37.5714336426,127.0065428180,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
미니스톱 동대문역점,서울특별시,종로구,11100,서울특별시 종로구 종로 313-1,서울특별시 종로구 창신동 154-1,37.5723305464,127.0125650780,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
미니스톱 종로충신점,서울특별시,종로구,11100,서울특별시 종로구 율곡로 235,서울특별시 종로구 충신동 52-2,37.5758738192,127.0050353257,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
세븐일레븐 성대점 B,서울특별시,종로구,11100,서울특별시 종로구 성균관로 21-2,서울특별시 종로구 명륜동2가 135,37.5846207404,126.9971469187,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
세븐일레븐 종로배화점,서울특별시,종로구,11100,서울특별시 종로구 필운대로 12,서울특별시 종로구 필운동 163,37.5771638,126.9694388,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
세븐일레븐 종로인사점,서울특별시,종로구,11100,서울특별시 종로구 인사동길 5,서울특별시 종로구 인사동 131,37.5714367102,126.9869822818,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
세븐일레븐 혜화점,서울특별시,종로구,11100,서울특별시 종로구 창경궁로 273,서울특별시 종로구 혜화동 111-7,37.58579567,127.0005887,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
세븐일레븐 평창점,서울특별시,종로구,11100,서울특별시 종로구 평창11길 17,서울특별시 종로구 평창동 343-1,37.60696406,126.9659566,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
세븐일레븐 대학로카페점,서울특별시,종로구,11100,서울특별시 종로구 동숭길 143,서울특별시 종로구 동숭동 1-37 1층 101호,37.5832656559,127.0024363966,,종로경찰서,,Y,2020-07-10,3000000,서울특별시 종로구
CU익산함열점,전라북도,익산시,45140,전라북도 익산시 함열읍 함열중앙로 24,전라북도 익산시 함열읍 와리 549-10,36.0786754336,126.9599129819,063-862-8757,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25 익산금마점,전라북도,익산시,45140,전라북도 익산시 금마면 금마길 60-1,전라북도 익산시 금마면 동고도리 696-14,35.9918316753,127.0529648629,063-831-6569,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25 익산춘포점,전라북도,익산시,45140,전라북도 익산시 춘포면 춘포로347,전라북도 익산시 춘포면 덕실리 491-9,35.9020687643,127.0050822469,063-1644-5425,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
세븐일레븐 익산인화 3호점,전라북도,익산시,45140,전라북도 익산시 목천로3길 7(인화동),전라북도 익산시 인화동1가 173-5,35.9305836435,126.9475015372,063-841-8848,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
CU익산감초점,전라북도,익산시,45140,전라북도 익산시 서동로4길 17 (동산동),전라북도 익산시 동산동 696-9,35.9312300333,126.9596684051,063-915-7177,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25동산천변로점,전라북도,익산시,45140,전라북도 익산시 동천로1길 2(동산동),전라북도 익산시 동산동 286-4,35.9293362405,126.9676831906,063-1644-5425,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
CU익산공단점,전라북도,익산시,45140,전라북도 익산시 약촌로 56 (신흥동),전라북도 익산시 신흥동 857-1,35.9389891542,126.9783449720,063-853-2430,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25 마동점,전라북도,익산시,45140,전라북도 익산시 서동로 99 (마동),전라북도 익산시 마동 344-8,35.9342194354,126.9623708320,063-842-2282,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
미니스톱익산남중점,전라북도,익산시,45140,전라북도 익산시 익산대로52길 37 (남중동),전라북도 익산시 남중동 363-3,35.9511137461,126.9559606450,063-854-3817,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25익산전북대점,전라북도,익산시,45140,전라북도 익산시 중앙로23길 1,전라북도 익산시 남중동 128-66,35.9412942901,126.9572738556,063-854-2484,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
GS25익산희망점,전라북도,익산시,45140,전라북도 익산시 고현로7길 16 (모현동1가),전라북도 익산시 모현동1가 303-14,35.9463095934,126.9419804555,063-856-6003,익산경찰서,2019,Y,2020-07-10,4680000,전라북도 익산시
